,Date,User,Tweet
100,2023-04-05 02:29:06+00:00,LakersReporter,"Utah wins their challenge, resulting in an and-1 for THT, with Schröder getting a blocking foul.

Lakers have been settling for jumpers to start the 3rd, and Utah's on an 11-3 run."
101,2023-04-05 02:03:47+00:00,LakersReporter,"LAL take their biggest lead at 68-56 with LeBron and AD running the floor together, leading to AD's dunk as he joins LeBron with 16 points."
102,2023-04-05 01:30:36+00:00,LakersReporter,"Ref missed what looked like a clean block from Davis, who got the ball well before it hit the glass on a Sexton attempt (goaltending was called). Utah got another bucket after AD missed on the other end to trim a 7-point lead to 3 at 26-23."
103,2023-04-05 01:26:20+00:00,LakersReporter,"The currently Western Conference POW, @AntDavis23 is having a dominating start to this game, with 10 points, 4 boards, 3 assists, 1 block and 1 steal in the first 9 minutes.

LAL lead 24-19."
104,2023-04-05 01:20:36+00:00,LakersReporter,"Utah's come out hot on the offensive end, hitting 6 of 9 FG's with a pair of 3's, with LAL 4 of 7.

All tied at 14 after a pair of AD free throws."
105,2023-04-05 00:25:37+00:00,LakersReporter,"As expected, LeBron and AD are both available tonight against Utah.

Russell and Bamba have both been downgraded to out."
106,2023-04-04 23:39:38+00:00,LakersReporter,"Ham on D’Angelo Russell, who’s dealing with the left foot soreness: “Saw an opportunity to give it an extra day’s rest.”

He cited the B2B against the Clippers as a factor. His status for tomorrow, as well as that of LeBron and AD, will be considered after tonight’s game."
107,2023-04-04 23:31:54+00:00,LakersReporter,"Utah coach Will Hardy on Jarred Vanderbilt being able to defend all over: “We put Vando on everybody. It doesn’t matter. That versatility gives you a lot of freedom as a coach. (We’d put him on the ball, or on the screener) … sometimes as a rover or free safety.”"
108,2023-04-04 20:02:15+00:00,LakersReporter,"Mo Bamba has been upgraded to doubtful for tonight’s game at Utah.

He’s been out since March 5 with an ankle sprain."
109,2023-04-04 17:30:33+00:00,LakersReporter,"Update for tonight's game at Utah: D'Angelo Russell has been downgraded to questionable.

He was listed as probable yesterday after missing the second half in Utah with left foot soreness."
110,2023-04-03 23:41:37+00:00,LakersReporter,"A look at the multitude of current playoff scenarios in the Wild West, including where the Lakers stand in tiebreaker situations with teams near them in the standings:

https://t.co/Eab6GyDGhB"
111,2023-04-03 22:19:22+00:00,LakersReporter,"D’Angelo Russell is listed as probable for tomorrow’s game at Utah, after missing the second half of last night’s win at Houston due to left foot soreness.

Anthony Davis is probable, and LeBron questionable."
112,2023-04-03 05:43:08+00:00,LakersReporter,"New podcast recorded after LAL’s third straight road win vaulted them to within a game of GSW and LAC for 5th in the West. 

On AD’s dominance, and more: 👇🏻👇🏻"
113,2023-04-03 01:33:25+00:00,LakersReporter,"Austin Reaves, after discussing AD’s dominance on both ends, was asked about the team mindset considering how they started the season:

“Mentally we’re in a great space … since the trade deadline, I feel like we’ve (played great). We have really good confidence and good energy.”"
114,2023-04-03 01:25:03+00:00,LakersReporter,Darvin Ham on the decision to hold Russell out for the second half with the left foot issue: “It was definitely precautionary. He could have continued if we needed him. Didn’t want to risk it.”
115,2023-04-03 01:11:29+00:00,LakersReporter,"* @AntDavis23 last 3 games, all Lakers road wins:

At Chicago: 38 points, 13 of 20 FG's, 9 boards, 2 blocks, 2 steals
At Minnesota: 38 points, 15 of 26 FG's, 17 boards, 2 blocks
At Houston: 40 points, 15 of 20 FG's, 9 boards, 2 blocks

That's 43 of 66 FG's (65.2%)."
116,2023-04-03 00:54:10+00:00,LakersReporter,"* @KingJames got rebound No. 10, to go with 11 assists and 16 points tonight. 

Magic Johnson is next on the list, 3rd with 138 triple-doubles."
117,2023-04-03 00:49:44+00:00,LakersReporter,LeBron James is 1 rebound away from catching Jason Kidd for 4th on the NBA's all-time triple-double list (107).
118,2023-04-03 00:47:41+00:00,LakersReporter,"A second consecutive excellent all-around game from Rui Hachimura has been a big boost for the Lakers. 

He's 8 of 10 for 16 points with 6 boards in his 17 minutes, and is a team-best +17 (tied with LeBron).

LAL up 101-83."
119,2023-04-03 00:14:57+00:00,LakersReporter,Injury update: D'Angelo Russell is out for the rest of the game tonight due to left foot soreness.
120,2023-04-03 00:06:17+00:00,LakersReporter,"LAL rode 27 points from Anthony Davis (11 of 16 FG's) and a 42-28 paint points advantage to a 70-60 halftime lead.

Rockets hit 8 triples, to 4 from LAL. 

Lakers committed only 2 TO's, and shot 58% in a sharp offensive display."
121,2023-04-03 00:00:26+00:00,LakersReporter,"Davis already has 22 points on 9 of 14 FG's after a floater out of a time out.

LAL lead 65-51. Rockets are hanging around in part by hitting their 3's (7 of 16)."
122,2023-04-02 23:39:51+00:00,LakersReporter,"LAL have been bullying Houston in the paint, with 24 points on 12 of 17 FG's already.

They lead 40-23 after five straight points from Austin Reaves."
123,2023-04-02 23:37:16+00:00,LakersReporter,LeBron had 5 assists in the first Q.
124,2023-04-02 23:36:56+00:00,LakersReporter,"LAL take a 35-21 lead out of the 1st Q, with Martin Jr.'s dunk getting pulled off the scoreboard since it came after the shot clock.

Dennis Schröder also threw in a ridiculous one-hander after the buzzer, harkening back to the one he hit against the Knicks (that one counted)."
125,2023-04-02 23:17:23+00:00,LakersReporter,"Lakers are up 14-5 at the 8:18 mark.

LAL have been focused on both ends thus far, with @AntDavis23 doing steady damage inside (7 points) on offense. Houston's 2 for 7 from the field (28.6%)."
126,2023-04-02 23:13:23+00:00,LakersReporter,"LAL conceded a bucket in the paint on Houston's first possession, but responded with a nice play for an open corner 3 from Russell on the other end. LeBron then hit his first shot of the game as LAL go up 5-2."
127,2023-04-02 22:27:00+00:00,LakersReporter,"With MIN losing to POR today, here’s a West standings update:

The Lakers have tiebreakers over GSW, NOP and OKC, but do not with LAC, MIN or DAL (UTA is TBD).

MIN plays NOP on the last day of the season, with their tiebreaker at stake. https://t.co/tyKumnL4mZ"
128,2023-04-02 22:04:18+00:00,LakersReporter,LeBron and AD are both officially available tonight.
129,2023-04-02 21:41:24+00:00,LakersReporter,"Darvin Ham said AD’s good to go tonight in Houston, confirming what Davis told us after the Minnesota win where he had the ankle tweak in the third quarter."
130,2023-04-02 21:20:18+00:00,LakersReporter,"Rockets coach Stephen Silas on the Lakers relative to the previous matchups: 

“This will be the best version, for sure.”"
131,2023-04-01 06:21:12+00:00,LakersReporter,Russell after a big win in Minnesota:
132,2023-04-01 06:20:54+00:00,LakersReporter,Recap from @forumbluegold:
133,2023-04-01 03:18:55+00:00,LakersReporter,"Vanderbilt on Davis dominating after his ankle tweak: “He changed the game for us … changed the momentum, changed everything.”"
134,2023-04-01 03:17:41+00:00,LakersReporter,"Jarred Vanderbilt said that the Lakers have been able to come together with the new starting lineup finally healthy mostly by just utilizing their talent, but feels chemistry is coming quickly. Thinks that represents a lot more upside for the group."
135,2023-04-01 03:08:49+00:00,LakersReporter,"Davis said his ankle feels good now after some initial treatment, and when asked if he’d play in Houston: “Hell yeah.”"
136,2023-04-01 02:47:37+00:00,LakersReporter,"Darvin Ham on @AntDavis23 (38 points, 17 boards), and his ankle: “He’s good, he powered through. Already started the process of trying to treat the (twisted ankle).”"
